,symbol,date,adjusted_date,close,adjusted_date_one_year_later,close_one_year_later
0,GPOR,2023-12-31,2024-01-02,134.09,2024-12-30,181.5
1,FIHL,2023-12-31,2024-01-02,12.33,2024-12-30,17.73
2,CALM,2023-06-03,2023-06-05,47.09,2024-06-03,61.12
3,APA,2023-12-31,2024-01-02,36.11,2024-12-30,22.42
4,FINV,2023-12-31,2024-01-02,4.82,2024-12-30,6.8
5,SPNT,2023-12-31,2024-01-02,11.51,2024-12-30,14.2
6,LNG,2023-12-31,2024-01-02,169.41,2024-12-30,213.07
7,CEIX,2023-12-31,2024-01-02,101.13,2024-12-30,105.96
8,NOG,2023-12-31,2024-01-02,36.84,2024-12-30,36.58
9,CVI,2023-12-31,2024-01-02,31.15,2024-12-30,18.56
10,ARLP,2023-12-31,2024-01-02,21.16,2024-12-30,25.89
11,TRMD,2023-12-31,2024-01-02,31.45,2024-12-30,19.0
12,INSW,2023-12-31,2024-01-02,46.59,2024-12-30,35.15
13,FMC,2023-12-31,2024-01-02,64.84,2024-12-30,48.45
14,AMR,2023-12-31,2024-01-02,341.24,2024-12-30,201.11
15,BWLP,2023-12-31,2024-01-02,15.3,2024-12-30,11.04
16,OGN,2023-12-31,2024-01-02,14.71,2024-12-30,14.64
17,PBF,2023-12-31,2024-01-02,44.4,2024-12-30,25.57
18,HAFN,2023-12-31,2024-01-02,,2024-12-30,5.44
19,AGO,2023-12-31,2024-01-02,74.67,2024-12-30,89.37
20,HG,2023-12-31,2024-01-02,15.03,2024-12-30,18.9
21,CPE,2023-12-31,2024-01-02,32.57,2024-12-30,
22,ERF,2023-12-31,2024-01-02,15.27,2024-12-30,
23,ADX,2023-12-31,2024-01-02,17.45,2024-12-30,20.3
24,LBRT,2023-12-31,2024-01-02,18.16,2024-12-30,19.67
25,VC,2023-12-31,2024-01-02,126.42,2024-12-30,88.65
26,AMR,2022-12-31,2023-01-03,137.34,2024-01-02,341.24
27,ARCH,2022-12-31,2023-01-03,134.0,2024-01-02,167.9
28,ZIM,2022-12-31,2023-01-03,16.96,2024-01-02,11.19
29,GPOR,2022-12-31,2023-01-03,70.66,2024-01-02,134.09
30,PBF,2022-12-31,2023-01-03,37.56,2024-01-02,44.4
31,EXE,2022-12-31,2023-01-03,86.13,2024-01-02,76.99
32,CHK,2022-12-31,2023-01-03,86.13,2024-01-02,76.99
33,SWN,2022-12-31,2023-01-03,5.5,2024-01-02,6.56
34,GTX,2022-12-31,2023-01-03,7.9,2024-01-02,9.48
35,INGM,2022-12-31,2023-01-03,,2024-01-02,
36,AEL,2022-12-31,2023-01-03,45.95,2024-01-02,55.2
37,CRK,2022-12-31,2023-01-03,12.52,2024-01-02,8.94
38,HCC,2022-12-31,2023-01-03,32.11,2024-01-02,60.91
39,BNTX,2022-12-31,2023-01-03,148.65,2024-01-02,112.35
40,ATKR,2022-09-30,2022-09-30,77.81,2023-10-02,145.0
41,CPE,2022-12-31,2023-01-03,34.66,2024-01-02,32.57
42,WIRE,2022-12-31,2023-01-03,133.42,2024-01-02,215.02
43,ESTE,2022-12-31,2023-01-03,13.04,2024-01-02,
44,BIPC,2022-12-31,2023-01-03,38.83,2024-01-02,35.28
45,NOG,2022-12-31,2023-01-03,29.01,2024-01-02,36.84
46,CHRD,2022-12-31,2023-01-03,131.77,2024-01-02,168.27
47,OAS,2022-12-31,2023-01-03,,2024-01-02,
48,BCC,2022-12-31,2023-01-03,70.12,2024-01-02,128.24
49,ERF,2022-12-31,2023-01-03,16.2,2024-01-02,15.27
50,BTU,2022-12-31,2023-01-03,25.1,2024-01-02,24.39
51,LPX,2022-12-31,2023-01-03,59.37,2024-01-02,69.73
52,ARLP,2022-12-31,2023-01-03,19.69,2024-01-02,21.16
53,MATX,2022-12-31,2023-01-03,62.49,2024-01-02,112.85
54,NLY,2022-12-31,2023-01-03,21.44,2024-01-02,19.26
55,AGIO,2021-12-31,2021-12-31,32.87,2023-01-03,27.53
56,ZIM,2021-12-31,2021-12-31,58.86,2023-01-03,16.96
57,GTX,2021-12-31,2021-12-31,8.03,2023-01-03,7.9
58,TGS,2021-12-31,2021-12-31,4.44,2023-01-03,11.56
59,UWMC,2021-12-31,2021-12-31,5.92,2023-01-03,3.4
60,X,2021-12-31,2021-12-31,23.81,2023-01-03,25.04
61,TPG,2021-12-31,2021-12-31,,2023-01-03,28.36
62,STEP,2021-03-31,2021-03-31,35.27,2022-03-31,33.06
63,BNTX,2021-12-31,2021-12-31,257.8,2023-01-03,148.65
64,BCC,2021-12-31,2021-12-31,71.2,2023-01-03,70.12
65,VALE,2021-12-31,2021-12-31,14.02,2023-01-03,16.35
66,LBTYB,2021-12-31,2021-12-31,28.16,2023-01-03,19.0
67,LBTYK,2021-12-31,2021-12-31,14.7,2023-01-03,10.7
68,LBTYA,2021-12-31,2021-12-31,14.29,2023-01-03,10.21
69,EXE,2021-12-31,2021-12-31,64.52,2023-01-03,86.13
70,CHK,2021-12-31,2021-12-31,64.52,2023-01-03,86.13
71,SWN,2021-12-31,2021-12-31,4.66,2023-01-03,5.5
72,QFIN,2021-12-31,2021-12-31,22.93,2023-01-03,20.9
73,WOR,2021-05-31,2021-06-01,42.41,2022-05-31,28.75
74,MT,2021-12-31,2021-12-31,31.83,2023-01-03,26.63
75,LPX,2021-12-31,2021-12-31,78.35,2023-01-03,59.37
76,WFG,2021-12-31,2021-12-31,95.36,2023-01-03,73.55
77,BAK,2021-12-31,2021-12-31,21.09,2023-01-03,8.29
78,GGB,2021-12-31,2021-12-31,3.9,2023-01-03,4.32
79,STLD,2021-12-31,2021-12-31,62.07,2023-01-03,95.17
80,CRC,2021-12-31,2021-12-31,42.71,2023-01-03,41.47
81,WIRE,2021-12-31,2021-12-31,143.1,2023-01-03,133.42
82,RQI,2021-12-31,2021-12-31,18.22,2023-01-03,11.83
83,HPQ,2021-10-31,2021-11-01,31.25,2022-10-31,27.62
84,NUE,2021-12-31,2021-12-31,114.15,2023-01-03,131.06
85,SNEX,2021-09-30,2021-09-30,43.93,2022-09-30,55.29
86,OXLCN,2021-03-31,2021-03-31,,2022-03-31,
87,OXLCP,2021-03-31,2021-03-31,24.4,2022-03-31,24.84
88,OXLCZ,2021-03-31,2021-03-31,,2022-03-31,24.82
89,OXLCO,2021-03-31,2021-03-31,25.05,2022-03-31,24.84
90,OXLCL,2021-03-31,2021-03-31,25.12,2022-03-31,25.77
91,OXLC,2021-03-31,2021-03-31,6.3,2022-03-31,7.24
92,ZIM,2020-12-31,2020-12-31,,2021-12-31,58.86
93,SNEX,2020-09-30,2020-09-30,34.11,2021-09-30,43.93
94,CPRX,2020-12-31,2020-12-31,3.34,2021-12-31,6.77
95,QFIN,2020-12-31,2020-12-31,11.79,2021-12-31,22.93
96,EMBCV,2020-09-30,2020-09-30,,2021-09-30,
97,STEP,2020-03-31,2020-03-31,,2021-03-31,35.27
