symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
AAPL,Apple Inc.,230.3212,-1.0648,-2.4788,228.3,231.28,260.1,164.08,3463547173480.0,240.2278,219.98755,NASDAQ,17209020.0,50922240.0,228.49,232.8,6.97,33.04,2025-04-30T10:59:00.000+0000,15037900000.0,1738778049
MSFT,Microsoft Corporation,412.675,0.074,0.305,410.42,413.827,468.35,385.58,3067817696500.0,431.2586,425.70755,NASDAQ,7926239.0,22183698.0,411.635,412.37,12.45,33.15,2025-04-23T20:00:00.000+0000,7433980000.0,1738778047
NVDA,NVIDIA Corporation,123.73,4.2815,5.08,120.76,124.64,153.13,66.248,3030147700000.0,136.8152,122.63693,NASDAQ,160177732.0,243192738.0,121.753,118.65,2.53,48.91,2025-02-26T21:00:00.000+0000,24490000000.0,1738778049
AMZN,"Amazon.com, Inc.",236.895,-2.1338,-5.165,235.2,237.94,241.77,151.61,2490950925000.0,222.5958,194.6683,NASDAQ,21521208.0,37083044.0,236.63,242.06,4.77,49.66,2025-02-06T21:00:00.000+0000,10515000000.0,1738778048
GOOG,Alphabet Inc.,192.7499,-7.2024,-14.9601,189.91,194.5499,207.08,131.55,2351173756928.0,189.3508,175.5249,NASDAQ,28284181.0,18623728.0,193.035,207.71,7.73,24.94,2025-04-23T20:00:00.000+0000,12198054354.0,1738778048
GOOGL,Alphabet Inc.,190.96,-7.4717,-15.42,188.03,192.75,205.48,130.67,2344946037754.0,187.834,173.99644,NASDAQ,44815899.0,27664077.0,191.215,206.38,7.74,24.67,2025-02-04T05:00:00.000+0000,12279776067.0,1738778048
META,"Meta Platforms, Inc.",703.505,-0.0973,-0.685,699.01,718.14,718.14,414.5,1782610104547.0,612.8086,541.6358,NASDAQ,10300701.0,13613752.0,703.2,704.19,24.08,29.22,2025-04-22T10:59:00.000+0000,2533898273.0,1738778045
TSLA,"Tesla, Inc.",382.5,-2.4757,-9.71,380.02,388.39,488.54,138.8,1230318900000.0,399.087,263.24536,NASDAQ,31424645.0,91588001.0,387.51,392.21,2.08,183.89,2025-04-22T04:00:00.000+0000,3216520000.0,1738778048
AVGO,Broadcom Inc.,236.72,6.4245,14.29,227.5,236.9696,251.88,119.756,1109591859200.0,208.9394,170.42184,NASDAQ,14912474.0,32731532.0,233.83,222.43,1.31,180.7,2025-03-05T10:59:00.000+0000,4687360000.0,1738778049
TSM,Taiwan Semiconductor Manufacturing Company Limited,209.56,2.7003,5.51,203.86,210.47,226.4,120.0,1086755150312.0,201.517,177.67555,NYSE,6217569.0,15065449.0,206.0,204.05,6.86,30.55,2025-04-16T10:59:00.000+0000,5185890200.0,1738778049
BRK-B,Berkshire Hathaway Inc.,470.8001,0.7081,3.3101,468.9001,472.61,491.67,392.1,1015166816765.0,462.4398,441.55246,NYSE,1324344.0,4134108.0,469.81,467.49,49.48,9.51,2025-02-24T13:30:00.000+0000,2156258711.0,1738778043
WMT,Walmart Inc.,101.7,0.9229,0.93,100.54,102.229,102.229,55.84667,816995763000.0,92.942,77.3561,NYSE,6927511.0,17124272.0,100.65,100.77,2.42,42.02,2025-02-20T14:30:00.000+0000,8033390000.0,1738778045
